particle_id,frame_num,particle_num,time_stamp_s,ecd_um,area_pixels,perimeter,circularity,intensity_mean,intensity_std,intensity_min,intensity_max,max_feret_diam_um,aspect_ratio,x_left,x_right,y_top,y_bottom,edge_particle,experiment,step,type,ml_type_proba
38809,627,3,67.622,6.625,74,33.9,0.9,619.09,158.12,280,798,7.125,0.91,507,516,220,228,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,air bubble,101
38811,627,5,67.622,6.125,69,35.21,0.84,616.88,153.53,290,799,8.125,0.71,64,72,743,754,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,dense globular,101
38815,628,3,67.712,7.125,82,37.38,0.86,662.87,127.66,357,799,8.625,0.8,971,980,735,746,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,dense globular,101
38829,631,2,68.032,5.625,64,37.8,0.75,755.97,40.87,655,799,8.875,0.67,674,682,441,450,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,air bubble,101
38849,635,3,68.459,6.625,76,44.46,0.7,752.34,40.64,643,799,10.875,0.62,674,687,623,631,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,translucent globular,101
38858,638,2,68.786,12.875,166,64.36,0.71,727.87,57.42,582,799,23.875,0.36,508,523,342,362,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,translucent fibral,101
38862,639,3,68.896,9.375,111,56.11,0.67,728.15,59.33,573,799,19.625,0.34,380,389,321,341,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,translucent fibral,101
38863,639,4,68.896,9.625,114,45.46,0.83,523.58,219.83,137,797,10.375,0.91,1118,1131,351,362,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,silicone oil,101
38880,644,1,69.442,13.125,171,50.87,0.91,459.92,244.65,88,798,13.625,0.88,853,867,56,71,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,air bubble,101
38897,646,4,69.66,9.875,119,54.87,0.7,579.17,204.36,130,799,14.375,0.61,436,452,430,440,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,dense globular,101
38938,656,4,70.724,7.625,86,41.8,0.79,682.34,99.96,451,799,13.375,0.45,1157,1170,714,723,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,dense globular,101
38968,663,3,71.444,7.125,81,40.56,0.79,660.98,95.6,450,796,12.125,0.41,919,933,452,459,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,dense fibral,101
38972,664,2,71.564,9.625,114,44.97,0.84,557.39,222.53,85,798,12.875,0.73,74,88,685,695,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,dense globular,101
39009,673,3,72.496,5.875,68,34.38,0.85,678.29,107.45,428,798,6.375,0.87,1091,1100,489,498,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,air bubble,101
39060,684,2,73.666,17.625,256,79.08,0.72,467.66,264.71,45,799,23.875,0.75,1258,1278,852,872,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,air bubble,101
39064,685,4,73.756,5.625,63,33.73,0.83,686.7,92.22,490,798,6.875,0.73,998,1007,814,822,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,air bubble,101
39065,685,5,73.756,9.375,111,52.21,0.72,653.61,145.57,214,798,16.125,0.38,828,837,966,983,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,dense fibral,101
39155,706,3,76.034,6.875,79,36.14,0.87,603.54,135.7,366,795,8.625,0.76,385,396,369,377,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,dense globular,101
39158,707,2,76.144,7.375,83,35.56,0.91,615.29,132.52,364,798,8.625,0.78,1052,1063,362,370,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,dense globular,101
39160,707,4,76.144,5.125,60,31.14,0.88,559.77,188.92,202,799,5.125,0.92,185,193,696,704,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,air bubble,101
39165,708,2,76.263,5.125,58,29.31,0.92,557.97,193.72,170,799,4.875,0.89,1025,1033,688,695,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,air bubble,101
39189,713,4,76.783,8.375,97,38.14,0.92,478.29,228.09,111,798,9.125,0.87,549,559,447,457,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,air bubble,101
39206,716,3,77.113,5.625,63,30.14,0.93,561.7,189.1,184,798,5.625,0.86,65,73,907,915,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,air bubble,101
39208,717,1,77.213,8.625,102,50.7,0.71,628.76,150.79,315,799,15.625,0.53,1222,1232,148,164,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,dense globular,101
39211,717,4,77.213,6.125,71,33.07,0.9,584.94,189.97,168,799,7.125,0.9,1009,1017,399,407,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,air bubble,101
39230,721,4,77.643,13.375,176,66.7,0.71,659.7,125.33,357,799,17.125,0.81,1139,1155,362,376,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,dense fibral,101
39237,722,3,77.733,5.125,58,32.31,0.84,725.12,64.23,587,799,6.125,0.69,1061,1070,739,745,FALSE,AHF_20151014_Galactic,GIV6 LN20150206_5200-3196_151014-140119,air bubble,101
